variants,SampleType,Animal,kidney,liver,lung,input_norm
cN123,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN124,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN125,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN126,gDNA,m1,0.044333956202043806,0.044333956202043806,0.044333956202043806,2.255607407204277e-05
cN127,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN128,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN129,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN130,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN131,gDNA,m1,44334.00053600001,44334044870.00054,44334.00053600001,2.2556051515991252e-11
cN132,gDNA,m1,44334044870.00054,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN133,gDNA,m1,0.044333956202043806,44334.00053600001,44334.00053600001,2.255607407204277e-05
cN134,gDNA,m1,177335.86914213144,0.044333956202043806,177335.86914213144,2.255607407204277e-05
cN135,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN136,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN137,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN138,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN139,gDNA,m1,0.044333956202043806,0.044333956202043806,0.044333956202043806,2.255607407204277e-05
cN140,gDNA,m1,0.044333956202043806,44334.00053600001,0.044333956202043806,2.255607407204277e-05
cN141,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN142,gDNA,m1,44334044870.00054,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN143,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN144,gDNA,m1,0.01477799525266825,14778.010030663501,0.01477799525266825,6.766817710402528e-05
cN145,gDNA,m1,44334.00053600001,44334044870.00054,44334.00053600001,2.2556051515991252e-11
cN146,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN147,gDNA,m1,44334044870.00054,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN148,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN149,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN150,gDNA,m1,0.044333956202043806,0.044333956202043806,44334.00053600001,2.255607407204277e-05
cN151,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN152,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN153,gDNA,m1,44334044870.00054,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN154,gDNA,m1,44334.00053600001,88668045406.00056,88668045406.00056,2.2556051515991252e-11
cN155,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN156,gDNA,m1,0.044333956202043806,0.044333956202043806,44334.00053600001,2.255607407204277e-05
cN157,gDNA,m1,0.044333956202043806,44334.00053600001,0.044333956202043806,2.255607407204277e-05
cN158,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN159,gDNA,m1,0.044333956202043806,44334.00053600001,0.044333956202043806,2.255607407204277e-05
cN160,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN161,gDNA,m1,44334.00053600001,88668045406.00056,44334044870.00054,2.2556051515991252e-11
cN162,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN163,gDNA,m1,22167.005809748684,44334.00053600001,55417.497899125665,9.022422862001654e-05
cN164,gDNA,m1,44334044870.00054,44334044870.00054,44334044870.00054,2.2556051515991252e-11
cN165,gDNA,m1,0.044333956202043806,44334.00053600001,0.044333956202043806,2.255607407204277e-05
cN166,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN167,gDNA,m1,44334044870.00054,44334044870.00054,44334.00053600001,2.2556051515991252e-11
cN168,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN169,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN170,gDNA,m1,44334.00053600001,44334.00053600001,44334044870.00054,2.2556051515991252e-11
cN171,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN172,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN173,gDNA,m1,44334044870.00054,88668045406.00056,44334.00053600001,2.2556051515991252e-11
cN174,gDNA,m1,44334.00053600001,44334044870.00054,88668045406.00056,2.2556051515991252e-11
cN175,gDNA,m1,88668045406.00056,133002045942.00056,44334.00053600001,2.2556051515991252e-11
cN176,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN177,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN178,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN179,gDNA,m1,44334044870.00054,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN180,gDNA,m1,44334.00053600001,55417.497899125665,55417.497899125665,9.022422862001654e-05
cN181,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN182,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN183,gDNA,m1,0.044333956202043806,44334.00053600001,0.044333956202043806,2.255607407204277e-05
cN184,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN185,gDNA,m1,44334044870.00054,44334044870.00054,44334.00053600001,2.2556051515991252e-11
cN186,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN187,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN188,gDNA,m1,44440.99703783231,44663.90641664962,44601.491790580774,0.5607659967616146
cN189,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN190,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.255607407204277e-05
cN191,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN192,gDNA,m1,0.044333956202043806,0.044333956202043806,0.044333956202043806,2.255607407204277e-05
cN193,gDNA,m1,44334.00053600001,44334.00053600001,88668045406.00056,2.2556051515991252e-11
cN194,gDNA,m1,0.022166989184505406,0.022166989184505406,66500.98972050541,4.511212558803403e-05
cN195,gDNA,m1,44334.00053600001,0.022166989184505406,22167.01135149459,4.511212558803403e-05
cN196,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN197,gDNA,m1,0.044333956202043806,0.044333956202043806,0.044333956202043806,2.255607407204277e-05
cN198,gDNA,m1,0.044333956202043806,0.044333956202043806,0.044333956202043806,2.255607407204277e-05
cN199,gDNA,m1,44334044870.00054,88668045406.00056,44334.00053600001,2.2556051515991252e-11
cN200,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN201,gDNA,m1,0.044333956202043806,0.044333956202043806,0.044333956202043806,2.255607407204277e-05
cN202,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN203,gDNA,m1,0.044333956202043806,44334.00053600001,0.044333956202043806,2.255607407204277e-05
cN204,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN205,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN206,gDNA,m1,44334.00053600001,0.044333956202043806,0.044333956202043806,2.255607407204277e-05
cN207,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN208,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN209,gDNA,m1,221669.82534417525,177335.86914213144,221669.82534417525,2.255607407204277e-05
cN210,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN211,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN212,gDNA,m1,44334.00053600001,44334.00053600001,44334044870.00054,2.2556051515991252e-11
cN213,gDNA,m1,44334044870.00054,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN214,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN215,gDNA,m1,44334044870.00054,44334044870.00054,44334044870.00054,2.2556051515991252e-11
cN216,gDNA,m1,44334.00053600001,44334.00053600001,44334044870.00054,2.2556051515991252e-11
cN217,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN218,gDNA,m1,44334044870.00054,88668045406.00056,44334.00053600001,2.2556051515991252e-11
cN219,gDNA,m1,44334.00053600001,44334.00053600001,133002045942.00056,2.2556051515991252e-11
cN220,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN221,gDNA,m1,44334044870.00054,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN222,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN223,gDNA,m1,44334.00053600001,44334.00053600001,44334.00053600001,2.2556051515991252e-11
cN224,gDNA,m1,0.044333956202043806,44334.00053600001,0.044333956202043806,2.255607407204277e-05
cN225,gDNA,m1,44334044870.00054,44334.00053600001,44334.00053600001,2.2556051515991252e-11
